DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
732,592.43,592.43,592.3,592.43,1600
744,592.32,592.53,592.25,592.35,7044
756,592.61,592.79,592.43,592.43,3700
768,592.36,592.61,592.15,592.61,6261
780,592.59,592.59,592.24,592.36,2700
792,592.89,592.97,592.3,592.41,4226
804,592.54,593.04,592.54,592.92,5725
816,592.3,592.62,592.3,592.49,2649
828,591.66,592.195,591.66,592.195,2300
840,591.6018,591.79,591.6018,591.79,1800
852,591.82,592,591.53,591.71,7265
864,591.39,591.62,591.38,591.62,4390
876,591.33,591.5,591.3,591.5,4189
888,591,591.45,590.92,591.29,13231
900,590.66,590.93,590.66,590.93,2160
912,590.3,590.55,590.27,590.55,3201
924,590.53,590.66,590.24,590.3,3910
936,591.45,591.5,590.63,590.63,4023
948,591.95,591.95,591.27,591.27,6329
960,591.73,592,591.59,591.66,5489
972,592.03,592.07,591.77,591.78,3359
984,592.0099,592.1,591.6,591.84,4116
996,591.71,591.75,591.6,591.72,3807
a1411143480,591.75,591.8,591.6,591.699,13385
12,591.89,591.89,591.6,591.63,4240
24,591.64,591.91,591.64,591.69,2998
36,591.88,591.88,591.6,591.6,6037
48,591.6,591.71,591.59,591.71,2663
60,591.6,591.84,591.58,591.6627,6435
72,591.5075,591.75,591.4,591.54,2495
84,591.39,591.94,591.39,591.62,6429
96,591.75,591.95,591.55,591.69,2750
108,591.42,591.89,591.42,591.7,2085
120,591.45,591.65,591.45,591.5,900
132,590.94,591.49,590.88,591.42,6979
144,591.02,591.28,591.01,591.03,800
156,590.71,591.02,590.57,591.02,2008
168,590.34,591.1,590.29,590.84,6140
180,590.19,590.45,590.19,590.36,1704
192,590.116,590.52,590.02,590.26,7426
204,590.5,590.5,590.19,590.25,2300
216,590.1,590.45,590.01,590.355,2600
228,590.15,590.2,590.05,590.05,400
240,590.27,590.53,590.115,590.13,4156
252,590.48,590.53,590.11,590.11,1650
264,590.055,590.25,590,590.25,2765
276,590.1,590.1,590.05,590.05,300
288,590.49,590.57,590.3,590.555,6700
300,590.38,590.6246,590.19,590.24,10314
312,590.5,590.63,590.37,590.48,650
324,590.625,590.625,590.41,590.5,800
336,590.47,590.56,590.31,590.56,2336
348,590.29,590.45,590.29,590.45,415
360,590.48,590.6099,590.17,590.33,12181
372,590.48,590.74,590.26,590.52,4100
384,590.103,590.37,590.07,590.2,1265
396,590.13,590.24,589.89,590.05,3493
408,590.5,590.5,590.055,590.14,8483
420,590.39,590.73,590.3,590.5,5313
432,590.42,590.66,590.39,590.39,1750
444,590.66,590.66,590.3,590.3,3276
456,590.36,590.488,590.3201,590.3201,700
468,590.69,590.76,590.38,590.47,2300
480,590.71,590.72,590.71,590.72,300
492,590.66,590.7054,590.56,590.56,1100
504,590.85,591.01,590.7,590.7,4442
516,590.83,591.004,590.74,590.79,900
528,590.71,590.93,590.71,590.88,2034
540,590.75,590.83,590.75,590.83,500
552,590.8822,591.18,590.83,590.905,1400
564,591.09,591.09,590.85,590.85,300
576,591.09,591.4699,591.09,591.28,1600
588,591.08,591.153,590.99,591.153,1900
600,591.1431,591.42,591.14,591.14,2300
612,591.22,591.22,591.11,591.11,800
624,591.31,591.31,591.15,591.15,300
636,590.94,591.22,590.94,591.22,1200
648,590.64,590.9131,590.43,590.9131,2840
660,590.67,590.82,590.5601,590.71,1350
672,590.67,590.675,590.56,590.675,500
684,590.6,590.78,590.56,590.56,1250
696,590.52,590.6,590.3,590.59,4457
708,590.61,590.61,590.405,590.51,1400
720,590.73,590.74,590.49,590.515,2960
732,590.62,590.87,590.62,590.74,1000
744,590.54,590.64,590.41,590.64,2563
756,590.6,590.65,590.38,590.45,1600
768,590.79,590.88,590.57,590.57,1167
780,591.09,591.2,590.605,590.91,4666
792,591.145,591.2636,591.09,591.15,2896
804,591.135,591.14,591.13,591.1375,724
816,591.3101,591.48,591.28,591.37,1300
828,591.37,591.37,591.3,591.3,600
840,591.3,591.53,591.3,591.4,5041
852,591.28,591.38,591.28,591.38,300
864,591.2475,591.36,591.245,591.295,1739
876,591.545,591.625,591.395,591.46,1400
888,591.545,591.57,591.4975,591.57,611
900,591.515,591.515,591.45,591.45,200
912,591.31,591.58,591.31,591.48,1582
924,591.31,591.45,591.31,591.39,500
936,591.395,591.51,591.31,591.39,600
948,591.36,591.38,591.27,591.34,500
960,591.54,591.7,591.34,591.34,2911
972,591.58,591.75,591.55,591.62,795
984,591.3101,591.63,591.3101,591.63,1205
996,591.31,591.51,591.22,591.4481,2703
a1411148520,591.35,591.39,591.13,591.27,2075
12,591.35,591.46,591.35,591.42,1164
24,591.45,591.55,591.38,591.45,1050
36,591.41,591.41,591.23,591.3,892
48,591.5,591.5,591.3506,591.3506,1042
60,591.695,591.7899,591.58,591.59,1000
72,591.9,591.9,591.67,591.7,2600
84,591.675,591.8,591.669,591.8,1100
96,591.71,591.74,591.63,591.63,1000
108,591.7,591.8,591.602,591.72,3160
120,591.85,591.85,591.63,591.63,318
132,591.85,591.85,591.55,591.8201,1924
144,591.8,591.9,591.74,591.79,500
156,591.75,591.78,591.62,591.76,1493
168,591.6501,591.74,591.55,591.69,1455
180,591.68,591.88,591.65,591.88,617
192,591.8425,591.85,591.72,591.72,800
204,591.68,591.95,591.58,591.95,4000
216,591.8699,591.89,591.63,591.63,1426
228,591.87,591.87,591.84,591.84,300
240,591.808,592.045,591.808,591.86,2600
252,591.74,591.91,591.74,591.91,300
264,591.57,591.68,591.57,591.67,800
276,591.42,591.72,591.42,591.66,4065
288,591.3,591.41,591.3,591.41,870
300,591.542,591.542,591.27,591.355,3730
312,591.74,591.74,591.46,591.46,829
324,591.5,591.54,591.5,591.54,200
336,591.44,591.739,591.44,591.56,900
348,591.54,591.65,591.53,591.58,400
372,591.41,591.75,591.39,591.75,1700
384,591.57,591.58,591.35,591.35,800
396,591.6,591.6,591.6,591.6,100
408,591.53,591.53,591.4,591.4,200
420,591.58,591.59,591.58,591.59,200
432,591.5,591.5,591.47,591.47,300
444,591.63,591.63,591.63,591.63,100
456,591.76,591.76,591.67,591.67,300
468,591.52,591.73,591.52,591.73,600
480,591.8,591.83,591.8,591.83,400
